age_group	year_of_production	rank	make_model	faults_pct	odometer_thousand_km	faults_per_thousand_km
12-13	2011–2012	10	Audi Q3	22.6	142	0.1591549295774648
12-13	2011–2012	10	BMW X5/X6	22.6	198	0.11414141414141415
12-13	2011–2012	10	Honda Jazz	22.6	113	0.2
12-13	2011–2012	13	Audi A3	22.8	151	0.1509933774834437
12-13	2011–2012	14	Mazda 3	23.1	126	0.18333333333333335
12-13	2011–2012	15	Mercedes-Benz GLK	24.3	164	0.14817073170731707
12-13	2011–2012	15	Suzuki Swift	24.3	116	0.20948275862068966
12-13	2011–2012	17	BMW X3/X4	24.5	170	0.14411764705882352
12-13	2011–2012	18	Audi A1	24.6	133	0.1849624060150376
12-13	2011–2012	18	Audi A6/A7	24.6	204	0.12058823529411765
12-13	2011–2012	20	VW Golf	24.7	152	0.1625
12-13	2011–2012	21	Toyota Auris	24.9	126	0.1976190476190476
12-13	2011–2012	22	Opel Meriva	25.3	113	0.22389380530973452
12-13	2011–2012	23	Škoda Yeti	25.5	146	0.17465753424657535
12-13	2011–2012	24	Audi A4/A5	25.9	186	0.139247311827957
12-13	2011–2012	25	Smart ForTwo	26.1	95	0.27473684210526317
12-13	2011–2012	26	Mercedes-Benz A-Class	26.4	109	0.2422018348623853
12-13	2011–2012	27	BMW 1	26.7	152	0.1756578947368421
12-13	2011–2012	28	Suzuki Grand Vitara	26.9	134	0.2007462686567164
12-13	2011–2012	28	VW Up!	26.9	109	0.24678899082568806
12-13	2011–2012	30	VW Touran	27.1	179	0.15139664804469274
12-13	2011–2012	31	BMW 3	27.4	180	0.1522222222222222
12-13	2011–2012	32	VW Tiguan	27.5	151	0.18211920529801323
12-13	2011–2012	32	Škoda Superb	27.5	198	0.1388888888888889
12-13	2011–2012	34	Toyota Yaris	27.7	114	0.24298245614035088
12-13	2011–2012	35	Seat Alhambra	27.9	191	0.14607329842931938
12-13	2011–2012	36	VW Caddy	28.5	173	0.16473988439306358
12-13	2011–2012	37	Mercedes-Benz E-Class	28.6	197	0.14517766497461929
12-13	2011–2012	38	Ford C-Max	28.7	208	0.13798076923076924
12-13	2011–2012	39	Opel Astra	28.8	145	0.1986206896551724
12-13	2011–2012	39	VW Polo	28.8	125	0.2304
12-13	2011–2012	39	Škoda Fabia	28.8	127	0.22677165354330708
12-13	2011–2012	42	Mercedes-Benz C-Class	29.0	166	0.1746987951807229
12-13	2011–2012	43	Opel Insignia	29.1	182	0.1598901098901099
12-13	2011–2012	44	Mercedes-Benz B-Class	29.3	121	0.24214876033057853
12-13	2011–2012	45	Škoda Roomster	29.4	136	0.21617647058823528
12-13	2011–2012	46	Škoda Octavia	29.6	178	0.1662921348314607
12-13	2011–2012	47	Opel Corsa	30.0	118	0.2542372881355932
12-13	2011–2012	47	VW Sharan	30.0	198	0.15151515151515152
12-13	2011–2012	49	Mazda 2	30.3	112	0.27053571428571427
12-13	2011–2012	49	Toyota Aygo	30.3	105	0.2885714285714286
12-13	2011–2012	51	Hyundai i10	30.6	96	0.31875000000000003
12-13	2011–2012	52	BMW 5/6	30.9	199	0.15527638190954773
12-13	2011–2012	52	Peugeot 308	30.9	142	0.2176056338028169
12-13	2011–2012	54	Ford Fiesta	31.5	122	0.2581967213114754
12-13	2011–2012	55	Hyundai ix20	31.6	111	0.2846846846846847
12-13	2011–2012	56	VW Passat	31.8	210	0.15142857142857144
12-13	2011–2012	57	Ford Kuga	32.2	167	0.19281437125748505
12-13	2011–2012	57	Renault Scenic	32.2	144	0.22361111111111112
12-13	2011–2012	57	Seat Leon	32.2	153	0.2104575163398693
12-13	2011–2012	60	Kia Ceed	32.5	138	0.23550724637681159
12-13	2011–2012	60	Seat Ibiza	32.5	139	0.23381294964028776
12-13	2011–2012	62	Citroën Berlingo	33.0	160	0.20625
12-13	2011–2012	63	Ford S-Max	33.1	198	0.16717171717171717
12-13	2011–2012	64	Hyundai i20	33.2	111	0.2990990990990991
12-13	2011–2012	64	Hyundai ix35	33.2	140	0.23714285714285716
12-13	2011–2012	66	Ford Ka	33.7	103	0.32718446601941753
12-13	2011–2012	66	Ford Mondeo	33.7	194	0.1737113402061856
12-13	2011–2012	66	Nissan Micra	33.7	100	0.337
12-13	2011–2012	69	Fiat 500	34.0	101	0.33663366336633666
12-13	2011–2012	70	Kia Sportage	34.7	141	0.24609929078014187
12-13	2011–2012	71	Ford Focus	34.8	256	0.1359375
12-13	2011–2012	72	Hyundai i30	35.5	136	0.2610294117647059
12-13	2011–2012	73	Dacia Duster	35.6	135	0.2637037037037037
12-13	2011–2012	74	Citroën C3	35.7	110	0.3245454545454546
12-13	2011–2012	74	Peugeot 207	35.7	113	0.315929203539823
12-13	2011–2012	76	Fiat Panda	36.2	102	0.35490196078431374
12-13	2011–2012	77	Nissan Qashqai	36.3	146	0.24863013698630135
12-13	2011–2012	78	Renault Megane	36.5	148	0.24662162162162163
12-13	2011–2012	79	Dacia Sandero	39.4	118	0.3338983050847458
12-13	2011–2012	80	Renault Clio	39.8	116	0.34310344827586203
12-13	2011–2012	81	Dacia Logan	41.0	146	0.2808219178082192
12-13	2011–2012	82	Renault Twingo	41.5	110	0.37727272727272726
